"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"NR_FEDERACAO";"NM_FEDERACAO";"SG_FEDERACAO";"DS_COMPOSICAO_FEDERACAO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_LEGENDA_VALIDOS";"QT_VOTOS_NOMINAIS_CONVR_LEG";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD"
"11/05/2023";"19:40:17";"2022";"2";"Eleição Ordinária";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"90670";"CUIABÁ";"1";"6";"Deputado Federal";"Partido isolado";"36";"AGIR";"AGIR";"-1";"#NULO#";"#NULO#";"#NULO#";"110001683039";"PARTIDO ISOLADO";"AGIR";"N";"6";"0";"6";"65";"0";"0"
"11/05/2023";"19:40:17";"2022";"2";"Eleição Ordinária";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"98612";"ALTO TAQUARI";"8";"5";"Senador";"Partido isolado";"51";"PATRIOTA";"Patriota";"-1";"#NULO#";"#NULO#";"#NULO#";"110001680859";"PARTIDO ISOLADO";"PATRIOTA";"N";"0";"0";"0";"36";"0";"0"
"11/05/2023";"19:40:17";"2022";"2";"Eleição Ordinária";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"90808";"NOVO MUNDO";"44";"6";"Deputado Federal";"Federação";"23";"CIDADANIA";"Cidadania";"1";"Federação PSDB Cidadania";"PSDB/CIDADANIA";"CIDADANIA / PSDB";"110001683502";"FEDERAÇÃO";"CIDADANIA / PSDB";"N";"2";"0";"2";"14";"0";"0"
"11/05/2023";"19:40:17";"2022";"2";"Eleição Ordinária";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"90085";"CANABRAVA DO NORTE";"28";"6";"Deputado Federal";"Partido isolado";"90";"PROS";"Partido Republicano da Ordem Social";"-1";"#NULO#";"#NULO#";"#NULO#";"110001681134";"PARTIDO ISOLADO";"PROS";"N";"0";"0";"0";"0";"0";"0"
"11/05/2023";"19:40:17";"2022";"2";"Eleição Ordinária";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"91898";"JUSCIMEIRA";"14";"6";"Deputado Federal";"Federação";"65";"PC do B";"Partido Comunista do Brasil";"2";"Federação Brasil da Esperança - FE BRASIL";"PT/PC do B/PV";"PC do B / PT / PV";"110001684022";"FEDERAÇÃO";"PT / PV / PC do B";"N";"0";"0";"0";"5";"0";"0"
"11/05/2023";"19:40:17";"2022";"2";"Eleição Ordinária";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"98736";"NOVA OLÍMPIA";"19";"5";"Senador";"Federação";"50";"PSOL";"Partido Socialismo e Liberdade";"3";"Federação PSOL REDE";"PSOL/REDE";"PSOL / REDE";"110001681400";"FEDERAÇÃO";"REDE / PSOL";"N";"0";"0";"0";"37";"0";"0"
"11/05/2023";"19:40:17";"2022";"2";"Eleição Ordinária";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"91952";"NOVA XAVANTINA";"26";"7";"Deputado Estadual";"Federação";"65";"PC do B";"Partido Comunista do Brasil";"2";"Federação Brasil da Esperança - FE BRASIL";"PT/PC do B/PV";"PC do B / PT / PV";"110001685327";"FEDERAÇÃO";"PT / PV / PC do B";"N";"2";"0";"2";"1";"0";"0"
"11/05/2023";"19:40:17";"2022";"2";"Eleição Ordinária";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"91537";"ROSÁRIO OESTE";"3";"6";"Deputado Federal";"Federação";"65";"PC do B";"Partido Comunista do Brasil";"2";"Federação Brasil da Esperança - FE BRASIL";"PT/PC do B/PV";"PC do B / PT / PV";"110001684022";"FEDERAÇÃO";"PT / PV / PC do B";"N";"0";"0";"0";"4";"0";"0"
"11/05/2023";"19:40:17";"2022";"2";"Eleição Ordinária";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"90697";"DIAMANTINO";"7";"5";"Senador";"Coligação";"27";"DC";"Democracia Cristã";"-1";"#NULO#";"#NULO#";"#NULO#";"110001683078";"A FORÇA DO BEM";"AGIR / DC";"N";"0";"0";"0";"34";"0";"0"
"11/05/2023";"19:40:17";"2022";"2";"Eleição Ordinária";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"99058";"GUARANTÃ DO NORTE";"44";"5";"Senador";"Coligação";"27";"DC";"Democracia Cristã";"-1";"#NULO#";"#NULO#";"#NULO#";"110001683078";"A FORÇA DO BEM";"AGIR / DC";"N";"0";"0";"0";"1297";"0";"0"
